"Company Name","Website","HQ Country","Industry / Market","Employee Count","Last Funding Stage","Last Funding Amount","Last Funding Date","Total Funding","Key Investors","HQ Countries","Team Countries","Intl Hiring (Countries)","Open Jobs (Last 3 Mo)","Remote Hiring %","Hiring Keywords","Data Source","Targeting Rationale (AGS Context)","CHROs","Director + HR","All C-Suite","Update People Search (Find people Table) - 2026-06-03T21:47:33.031Z","Update People Search (Find people Table) - 2026-06-04T14:41:11.370Z","Update People Search (Find people Table) - 2026-06-04T17:32:01.701Z","Update People Search (Find people Table) - 2026-06-05T19:59:24.770Z"
"Aidoc","aidoc.com","United States","Artificial Intelligence (AI);Health Care;Machine Learning;Medical Device",579,"Series E","$150M","2026-04-29","$560M","Alpha Intelligence Capital;General Catalyst;Goldman Sachs Alternatives;Mercy;NVentures;SoftBank Investment Advisers;Square Peg Capital;Sutter Health;TCV;TLV Partners","United States","Israel;United States;United Kingdom;Spain;France;Malaysia;Thailand;Brazil;Canada;Denmark;Germany;India;Puerto Rico;South Africa;Turkey",1,32,"24%","remote","GoodFit","Recent funding: $150M Series E (2026-04-29) | Hiring in 1 countries outside HQ | 32 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Aiper","aiper.com","United States","Cleaning Products;Outdoors;Robotics",84,"Venture - Series UNKNOWN","$138M","2025-04-01","$213M","Borchid Capital;CMB International Capital Corporation;Fengqiao Capital;Fluidra;Fosun RZ Capital;XVC;Yunqi Partners","United States","China;France;United States;Canada;Singapore;Australia;Spain;Brazil;Germany;Philippines;Romania;Saudi Arabia",4,14,"20%","remote","GoodFit","Recent funding: $138M Venture - Series UNKNOWN (2025-04-01) | Hiring in 4 countries outside HQ | 14 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"AliveCor","alivecor.com","United States","Health Care;Information Technology;Medical Device;Mobile;Software",209,"Series F","","2022-08-16","$154M","Bold Capital Partners;Burrill & Company;GE Healthcare;Khosla Ventures;Mayo Clinic;Omron Healthcare;Oxford Finance LLC;Pegasus Tech Ventures;Qualcomm Ventures;Sweetwater Capital Partners;WP Global Partners","United States","United States;India;United Kingdom;Australia;Germany;Italy;Japan;South Africa;South Korea;Spain;Venezuela",2,12,"12%","remote","GoodFit","Recent funding:  Series F (2022-08-16) | Hiring in 2 countries outside HQ | 12 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Alloy Therapeutics, Inc.","alloytx.com","United States","Biopharma;Biotechnology;Life Science;Therapeutics",140,"Series E","$40M","2026-04-15","$168M","8VC;Alexandria Venture Investments;Echo Capital;Founders Fund;Gaingels;JIC Venture Growth Investments;Mubadala Capital Ventures;Peter Thiel;Presight Capital;Thiel Capital;Ulysses Holdings","United Kingdom;United States","United States;United Kingdom;Japan;Switzerland;Canada;France;Jersey;Togo",,13,"14%","remote","GoodFit","Recent funding: $40M Series E (2026-04-15) | 13 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Altia","altia.com","United States","Computer;Manufacturing;Navigation;Robotics;Software",69,"Venture - Series UNKNOWN","$2M","2022-08-04","$3M","FirstMile Ventures","United States","United States;Japan;France;Germany;South Korea;India;Poland;Spain;United Kingdom",,,"","","GoodFit","Recent funding: $2M Venture - Series UNKNOWN (2022-08-04) | Source: GoodFit",,,,,,,
"Asieris Pharmaceuticals","asieris.com","United States","Biotechnology;Health Care;Medical;Pharmaceutical",60,"Series D","$106M","2020-11-11","$176M","C&D Emerging Investment;CICC;China Highrun Capital Limited;Gopher Asset Management;Haoshuo Zhier Fund;Homsun Capital;Lapam Capital;Qiming Venture Partners;SAIC Capital;TriWise Capital;Xiamen C&D Corporation;YF Capital;Yanchuang Capital","United States","China;United States;Australia;United Kingdom",1,34,"","","GoodFit","Recent funding: $106M Series D (2020-11-11) | Hiring in 1 countries outside HQ | 34 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Astera Labs","asteralabs.com","United States","Automotive;Electronics;Intelligent Systems;Semiconductor",939,"Series D","$150M","2022-11-17","$206M","Atreides Management;Edelweiss Capital;Employee Stock Option Fund;Fidelity;Going Investment S.A.;Intel Capital;Oceanic Partners;Sutter Hill Ventures;VentureTech Alliance","Canada;China;India;Israel;Taiwan;United States","United States;India;Canada;Israel;Taiwan;Vietnam;Germany;China;Singapore;Bangladesh;Netherlands;Pakistan;South Korea;Thailand;United Arab Emirates",3,203,"0%","remote;global team","GoodFit","Recent funding: $150M Series D (2022-11-17) | Hiring in 3 countries outside HQ | 203 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Atmosic Technologies","atmosic.com","United States","Industrial Manufacturing;Manufacturing;Semiconductor;Wireless",67,"Series D","$40M","2025-03-03","$140M","Arden Road Investment;Clear Ventures;Dolby Family Ventures;Quantum Innovation Fund;Sutter Hill Ventures;Walden International","United States","United States;Taiwan;Canada;China;South Korea;Sweden",1,6,"","","GoodFit","Recent funding: $40M Series D (2025-03-03) | Hiring in 1 countries outside HQ | 6 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Auterion","auterion.com","United States","Artificial Intelligence (AI);Drone Management;Drones;Information Technology;Open Source;Operating Systems;Robotics;Software",182,"Corporate Round","","2025-11-18","$184M","Bessemer Venture Partners;Costanoa Ventures;Lakestar;Mosaic Ventures;Rheinmetall;Tectonic Ventures;U.S. Department of Defense","Germany;Switzerland;United States","Switzerland;United States;Germany;United Kingdom;Australia;Austria;Canada;Poland;Rwanda;Slovakia;Slovenia;Ukraine",2,96,"7%","remote;global team","GoodFit","Recent funding:  Corporate Round (2025-11-18) | Hiring in 2 countries outside HQ | 96 open roles (last 3 mo) | Source: GoodFit",,,,,,,
"Automated Architecture (AUAR)","auar.io","United Kingdom","Architecture;Manufacturing;Robotics;Web Development",38,"Venture - Series UNKNOWN","$7M","2025-06-04","$11M","Carmel Rafaeli;Common Magic;Concrete Venture Capital;Dorothy Chou;Inclusive Ventures Lab;Innovate UK;Luke Appleby;Margarita Skarkou;Miles Ahead;Nicolas Bearelle;Planet A Ventures;Shadow Ventures","United Kingdom","United Kingdom;United States;Belgium;Germany;Greece",1,12,"25%","remote","GoodFit","Recent funding: $7M Venture - Series UNKNOWN (2025-06-04) | Hiring in 1 countries outside HQ | 12 open roles (last 3 mo) | Source: GoodFit",,,,,,,
