Date,Link,Message
2026-08-26 08:49:32,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7498023890829385728,App
2026-08-25 06:22:54,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7497628621256183808,Congrats
2026-08-22 19:23:19,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7496588690509488129,Polsia is probably my favorite agent in a box tool. It works like how I imagined OpenClaw would
2026-08-18 15:54:12,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7493762030408032256,Tana Douglas haha right? Like why you make that woman say that
2026-08-18 07:40:59,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7494831464555929600,"So would the fix be, a master archived skill library and intelligent rag system to call the one you need from an index?"
2026-08-12 02:06:37,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7492930910674292737,Congrats!
2026-08-07 16:00:34,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7491432980117254146,"Ah that’s great, I’ve always wondered if I can just upload a video and have it do the screen share for me"
2026-07-31 19:26:57,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7488964193526771712,Templates
2026-07-27 03:58:16,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7484616334576795648,Bashen Corporation
2026-07-25 16:33:34,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7443454411047272448,Great job I love your advice lots of haters in the comments
2026-06-25 18:01:12,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7475905559678840832,Congrats!
2026-05-28 18:35:38,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7465046645072834560,Christina (Tina) Robertson
2026-05-28 18:35:33,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7465046645072834560,YOUTUBE
2026-05-19 21:34:42,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7462496960147722240,Congrats!
2026-05-04 00:46:28,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7455398720986091520,Great platform I started using it it’s just what I imagined open claw to be. Just wish it would ssh into your drive or server.
2026-04-28 08:12:25,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7454594838320283648,Boss
2026-04-19 08:33:31,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7412218171710955520,Forgive me if I’m wrong but is he just talking about empathy?
2026-04-19 08:28:22,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7386657540735909889,"Kate Jackson I had a conversation with Dave chapelles former manager once. He said you have to write every day as a comedian whether you like it or not. He HATED that passion/motivation stuff, said what happens if you don’t feel like it for three days? Then you’re behind. Work and success becomes the passion."
2026-04-19 08:25:48,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7386657540735909889,"Tom Head yeah I noticed, when I was doing projects, what people actually paid for versus what idea I had to build. I found that building on top of what people wanted got me exponentially further then pushing my idea on someone else."
2026-04-19 07:50:51,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7401858454090633216,"Sean Colbert-Lewis, Sr., PhD, NBCT congrats! Good job"
2026-04-19 01:55:07,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7451324911022702594,"What about remotion"
2026-04-18 03:01:42,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7450188722064506881,N8n
2026-04-15 09:45:16,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7448034388061270017,Interesting if you can do options
2026-04-14 15:57:21,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7445804307339374593,Shout out to that dog learning by osmosis underneath!
2026-04-03 00:56:21,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7323774428981465088,Jamal Asafi inbox me
2026-03-28 03:05:35,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7442981140598206464,There’s a certain irony between “knowledge should be free” and “knowledge is power”
2026-03-28 03:05:09,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7442981140598206464,One
2026-03-12 12:06:36,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7436773251260829697,Daniel Han this was exactly the question I came here looking to ask. Thank you
2026-03-12 11:26:08,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437474479766843392,Infra
2026-03-11 20:59:12,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437572013835182081,Congrats!
2026-03-11 02:30:05,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7437289454089822208,Nick Marshall
2026-03-08 22:45:55,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7435678517964582912,Calico
2026-03-08 19:58:19,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7434808134268923904,Congrats!
2026-03-05 23:32:33,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7434983517593198592,Vibe
2026-02-23 10:00:48,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7431404902389624833,"Awesome, I just plugged the link to your OpenClaw course into my opencode on a vm tasked with setting up OpenClaw and it created the agents using your structure. Appreciate it"
2026-02-19 17:55:18,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7430010688384921600,Christina (Tina) Robertson James Dunne
2026-02-10 02:41:25,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7425980172039888897,Awesome. What do you think about ssh and using AWS or azure
2026-02-07 08:40:58,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7425817101053018112,"In addition to this, we must realize that prompt inputs and outputs generate tokens, which cost money that some people might not have. Therefore, to truly be a leader in AI technology, we MUST, treat AI token usage as a utility - and gift a subsidy/stipend to at the very least the students and educators, , but ideally to every community through distribution via local political government. That way, anyone who wants to build can get a $50/month AI credit to. Use cursor/lovable/llama etc to play, train and execute.

If we do not, the inevitable is clear: the rich will get richer and the poor will get poorer. Only those with $100,$200,$300,$1,400/month will have the means to create truly impactful products.
This will lead to a world where the ex software engineers, ex vcs (who’s only claim to fame is giving money to people who are already doing well enough to not need the money, or imposing subjective judgmental value assessments on the character of anyone they do not know (but if they do, here’s $250k to burn into the ground) and overall wealthy creatives will lead and own all ai production. It won’t be the world where Doctor King envisioned equality based on merit, but another , “I’m better than you” game, by those with cash."
