Challenge Date,IP Address,User Agent,Country,Challenge Type
Tue Sep 03 23:32:34 UTC 2024,207.237.196.250,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,SSP_BLOCKING_CHALLENGE
Tue Sep 03 23:32:39 UTC 2024,207.237.196.250,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,ID_VERIFICATION_CHALLENGE
Tue Sep 03 23:32:39 UTC 2024,207.237.196.250,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36",United States,ID_VERIFICATION_CHALLENGE
Tue Jan 07 05:54:43 UTC 2025,166.181.82.200,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1",United States,SSP_BLOCKING_CHALLENGE
Tue Jan 07 05:55:05 UTC 2025,166.181.82.200,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.30.5750.15",United States,SSP_BLOCKING_CHALLENGE
Tue Jan 07 05:55:08 UTC 2025,166.181.82.200,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.30.5750.15",United States,LINKEDIN_APP_CHALLENGE
Tue Jan 07 05:55:16 UTC 2025,166.181.82.200,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_1 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) Version/10.0 Mobile/14E304 Safari/602.1",United States,SSP_BLOCKING_CHALLENGE
Tue May 13 15:39:12 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",United States,EMAIL_PIN_CHALLENGE
Tue May 13 15:40:18 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",United States,EMAIL_PIN_CHALLENGE
Tue May 13 15:40:19 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",United States,EMAIL_PIN_CHALLENGE
Tue May 13 15:40:45 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",United States,PIN_CHALLENGE
Tue May 13 15:41:17 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",United States,PIN_CHALLENGE
Tue May 13 17:06:40 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION
Tue May 13 17:06:40 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION
Tue May 13 17:06:59 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION
Tue May 13 18:04:29 UTC 2025,98.63.121.0,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.31.1083.5 iPhone:18.3.1,United States,TWO_STEP_VERIFICATION
Tue May 13 18:04:29 UTC 2025,98.63.121.0,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.31.1083.5 iPhone:18.3.1,United States,TWO_STEP_VERIFICATION
Tue May 13 18:04:37 UTC 2025,98.63.121.0,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.31.1083.5 iPhone:18.3.1,United States,TWO_STEP_VERIFICATION
Tue Jun 03 15:17:01 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",United States,TWO_STEP_VERIFICATION
Tue Jun 03 15:17:01 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",United States,TWO_STEP_VERIFICATION
Tue Jun 03 15:17:31 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",United States,TWO_STEP_VERIFICATION
Tue Jun 03 15:17:41 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0",United States,TWO_STEP_VERIFICATION
Wed Jun 04 15:59:55 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION
Wed Jun 04 15:59:55 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION
Wed Jun 04 16:00:12 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION
Sun Jun 08 18:31:08 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 Edg/137.0.0.0",United States,EMAIL_PIN_CHALLENGE
Sun Jun 08 18:31:30 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36 Edg/137.0.0.0",United States,EMAIL_PIN_CHALLENGE
Wed Jul 09 16:20:26 UTC 2025,166.182.84.47,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/138.0.7204.119 Mobile/15E148 Safari/604.1",United States,TWO_STEP_VERIFICATION
Wed Jul 09 16:20:26 UTC 2025,166.182.84.47,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/138.0.7204.119 Mobile/15E148 Safari/604.1",United States,TWO_STEP_VERIFICATION
Wed Jul 09 16:20:38 UTC 2025,166.182.84.47,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/138.0.7204.119 Mobile/15E148 Safari/604.1",United States,TWO_STEP_VERIFICATION
Mon Aug 04 02:44:44 UTC 2025,198.46.137.88,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36",United States,CAPTCHA_CHALLENGE
Mon Aug 04 02:44:44 UTC 2025,198.46.137.88,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.74 Safari/537.36",United States,CAPTCHA_CHALLENGE
Sun Sep 07 04:24:41 UTC 2025,2604:2d80:d787:8100:e8c4:29df:59f4:de8d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION
Sun Sep 07 04:24:41 UTC 2025,2604:2d80:d787:8100:e8c4:29df:59f4:de8d,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION
Mon Sep 22 19:37:19 UTC 2025,108.160.230.14,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION
Mon Sep 22 19:37:19 UTC 2025,108.160.230.14,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION
Mon Sep 22 19:46:05 UTC 2025,108.160.230.14,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION
Mon Oct 06 21:11:15 UTC 2025,173.21.64.70,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION
Mon Oct 06 21:11:15 UTC 2025,173.21.64.70,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION
Mon Oct 06 21:11:16 UTC 2025,173.21.64.70,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION
Mon Oct 06 21:11:16 UTC 2025,173.21.64.70,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION
Mon Oct 06 21:11:17 UTC 2025,173.21.64.70,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION
Mon Oct 06 21:11:17 UTC 2025,173.21.64.70,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION
Mon Oct 06 21:12:19 UTC 2025,173.21.64.70,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION
Sat Oct 11 01:16:00 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",United States,TWO_STEP_VERIFICATION
Sat Oct 11 01:16:00 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",United States,TWO_STEP_VERIFICATION
Sat Oct 11 22:23:41 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION
Sat Oct 11 22:23:41 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION
Sat Oct 11 22:24:06 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",United States,TWO_STEP_VERIFICATION
Sat Oct 11 22:28:28 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36",United States,EMAIL_PIN_CHALLENGE
Tue Oct 14 19:04:49 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",United States,TWO_STEP_VERIFICATION
Tue Oct 14 19:04:49 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",United States,TWO_STEP_VERIFICATION
Tue Oct 14 19:05:26 UTC 2025,98.63.121.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0",United States,TWO_STEP_VERIFICATION
Tue Oct 14 23:00:07 UTC 2025,98.63.121.0,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1",United States,TWO_STEP_VERIFICATION
Tue Oct 14 23:00:07 UTC 2025,98.63.121.0,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.0 Mobile/15E148 Safari/604.1",United States,TWO_STEP_VERIFICATION
